x,AccuLevel,DetectorLoad,AccuControl,Setpoint,AccuTsat
1029.57,45.5631,27.3501,-14.3857,,-17.4263
1029.59,45.5635,30.3186,-14.3868,,-17.4261
1029.6,45.5637,32.1453,-14.3874,,-17.426
1032.42,45.6147,34.0567,-14.496,,-17.3997
1032.77,45.6216,34.2941,-14.5062,,-17.3965
1032.78,45.6219,36.5395,-14.5067,,-17.3964
1032.79,45.6221,38.1379,-14.507,,-17.3962
1035.95,45.6905,39.3353,-14.5741,,-17.3671
1045.45,46.0099,39.4118,-14.5723,,-17.2811
1052.89,46.1655,39.4719,-14.268,,-17.2153
1060.77,46.2956,39.5354,-13.0824,,-17.1472
1065.92,46.3902,39.577,-13.1744,,-17.1037
1079.67,46.7298,39.6878,-13.434,,-16.991
1081.63,46.7854,39.7036,-13.3126,,-16.9755
1086.4,46.9228,39.7381,-12.5739,,-16.9379
1090.7,47.0428,39.7692,-12.1167,,-16.9046
1095.12,47.1613,39.8011,-12.2244,,-16.871
1100.58,47.3061,39.8406,-12.7307,,-16.8303
1106.44,47.4693,39.883,-13.7797,,-16.7876
1112.72,47.6607,39.9284,-16.8274,,-16.7429
1114.75,47.7275,39.9431,-17.2853,,-16.7286
1125.3,48.1198,40.0193,-18.9646,,-16.6565
1127.3,48.2131,40.0338,-19.7419,,-16.6431
1127.36,48.2162,40.0341,-19.7764,,-16.6427
1131.58,48.552,40.059,-21.175,,-16.6148
1132.08,48.585,40.0619,-21.2523,,-16.6115
1149.41,49.4426,40.1637,-22.4283,,-16.5013
1158.35,49.7397,40.2162,-22.5483,,-16.447
1166.74,49.9576,40.2655,-22.4693,,-16.3974
1179.34,50.3322,40.3396,-22.1158,,-16.3254
1194.58,50.7895,40.4291,-21.3954,,-16.242
1195.09,50.8004,40.4321,-21.3645,,-16.2393
1207.19,50.9867,40.5032,-19.6507,,-16.1758
1213.5,51.0866,40.5403,-17.4083,,-16.1436
1213.99,51.0958,40.5432,-17.3895,,-16.1411
1218.07,51.1823,40.5671,-17.3088,,-16.1206
