x,AccuLevel,DetectorLoad,ModuleLoad,AccuControl,Setpoint,AccuTsat
6034.24,41.364,0.264,1.911,-2.744,,-4.153
6045.22,41.352,0.27,0.877,-1.678,,-4.189
6045.24,41.352,0.27,0.876,0.187,,-4.189
6051.54,41.341,0.273,0.543,1.709,,-4.211
6051.56,41.341,0.273,0.542,5.705,,-4.211
6054.73,41.334,0.275,0.416,9.054,,-4.223
6056.29,41.331,0.276,0.362,2.927,,-4.229
6056.48,41.33,0.276,0.356,2.94,,-4.23
6058.11,41.326,0.277,0.305,3.259,,-4.237
6075.21,41.243,0.287,0.005,11.261,,-4.313
6081.52,41.183,0.29,-0.031,14.458,,-4.344
6084.68,41.139,0.292,-0.039,16.78,,-4.361
6094.15,40.868,0.297,-0.028,21.347,,-4.413
6095.83,40.793,0.298,-0.022,22.063,,-4.423
6106.78,40.431,0.304,0.042,28.463,,-4.489
6108.38,40.384,0.305,0.054,36.151,,-4.499
6116.29,40.147,0.31,0.119,39.737,,-4.549
6130.45,39.657,0.318,0.25,44.942,,-4.643
6133.63,39.545,0.319,0.279,49.509,,-4.664
6138.29,39.386,0.322,0.319,51.857,,-4.695
6141.26,39.29,0.324,0.342,52.981,,-4.715
6146.24,39.139,0.326,0.378,54.837,,-4.747
6157.31,38.826,0.333,0.439,60.165,,-4.815
6161.85,38.701,0.335,0.457,63.374,,-4.84
6163.63,38.652,0.336,0.463,65.112,,-4.85
6165.2,38.608,0.337,0.468,68.499,,-4.858
6165.21,38.608,0.337,0.468,69.07,,-4.858
6166.79,38.563,0.338,0.473,67.548,,-4.866
6171,38.44,0.34,0.482,68.968,,-4.887
6172.51,38.395,0.339,0.485,69.602,,-4.893
6173.1,38.377,0.339,0.486,69.831,,-4.896
6177.79,38.225,0.335,0.491,69.831,,-4.915
6186.99,37.864,0.328,0.492,69.846,,-4.947
6191.96,37.611,0.324,0.488,69.946,,-4.96
6201.4,37.063,0.316,0.471,69.984,,-4.978
6205.85,36.837,0.312,0.461,69.925,,-4.984
6213.92,36.541,0.306,0.437,69.87,,-4.989
6220.21,36.305,0.301,0.417,69.413,,-4.989
6224.71,36.076,0.297,0.401,68.364,,-4.987
6229.63,35.739,0.293,0.383,67.701,,-4.983
6229.64,35.738,0.293,0.383,68.957,,-4.983
6234.34,35.354,0.289,0.366,63.667,,-4.977
6234.35,35.353,0.289,0.366,65.379,,-4.977
6243.56,34.554,0.282,0.333,57.844,,-4.96
6245.27,34.417,0.281,0.327,56.779,,-4.956
6245.3,34.415,0.281,0.327,60.47,,-4.956
6251.55,33.986,0.276,0.306,55.18,,-4.941
6254.71,33.809,0.273,0.297,57.768,,-4.932
6256.26,33.73,0.272,0.292,50.994,,-4.927
6259.39,33.583,0.269,0.283,48.597,,-4.918
6259.41,33.582,0.269,0.283,52.555,,-4.918
6260.92,33.515,0.268,0.279,46.428,,-4.913
6262.42,33.45,0.267,0.276,43.717,,-4.908
6262.49,33.447,0.267,0.275,43.687,,-4.908
6264.03,33.383,0.265,0.272,43.093,,-4.902
6270.31,33.131,0.26,0.258,40.491,,-4.88
6271.89,33.069,0.259,0.255,38.778,,-4.874
6274.82,32.956,0.257,0.25,38.084,,-4.862
6278.17,32.827,0.254,0.245,37.218,,-4.848
6279.7,32.768,0.253,0.243,35.125,,-4.842
6281.28,32.707,0.252,0.241,32.956,,-4.835
6285.95,32.524,0.248,0.236,29.911,,-4.815
6292.26,32.271,0.243,0.23,28.256,,-4.786
6300.1,31.935,0.236,0.226,26.372,,-4.749
6307.91,31.586,0.23,0.224,23.214,,-4.711
6315.77,31.247,0.224,0.224,19.446,,-4.672
6315.86,31.244,0.224,0.224,19.395,,-4.672
6322.04,31.046,0.219,0.225,16.097,,-4.642
6337.73,30.886,0.206,0.231,12.368,,-4.567
6344.15,30.863,0.201,0.235,10.57,,-4.537
6351.83,30.844,0.195,0.24,8.791,,-4.503
6376.96,30.809,0.175,0.257,5.328,,-4.401
6398.95,30.794,0.157,0.273,2.626,,-4.327
6413.32,30.789,0.145,0.284,1.749,,-4.287
6416.26,30.789,0.143,0.286,1.523,,-4.279
6421.16,30.788,0.139,0.289,1.059,,-4.267
6436.65,30.79,0.127,0.298,-0.989,,-4.234
6441.38,30.792,0.123,0.301,-2.511,,-4.224
6449.24,30.796,0.116,0.305,-3.475,,-4.21
6450.83,30.798,0.115,0.306,-3.65,,-4.207
6463.37,30.812,0.118,0.312,-4.984,,-4.187
6474.34,30.831,0.121,0.317,-6.773,,-4.171
6485.35,30.859,0.123,0.321,-9.475,,-4.156
6487.18,30.865,0.124,0.322,-9.723,,-4.154
6512.03,30.965,0.13,0.33,-11.948,,-4.126
6538.78,31.125,0.136,0.336,-12.747,,-4.101
6550.07,31.208,0.139,0.338,-12.61,,-4.091
6574.91,31.408,0.145,0.342,-11.871,,-4.071
6576.52,31.421,0.145,0.342,-11.148,,-4.069
6607.96,31.642,0.153,0.344,-11.149,,-4.043
6620.49,31.707,0.156,0.344,-11.186,,-4.031
6628.68,31.742,0.158,0.343,-11.201,,-4.023
6645.64,31.794,0.162,0.343,-11.071,,-4.005
6677.09,31.845,0.169,0.339,-10.424,,-3.973
6692.81,31.859,0.173,0.336,-9.32,,-3.96
6707,31.871,0.176,0.333,-7.874,,-3.951
6727.41,31.889,0.181,0.328,-7.455,,-3.944
6732.44,31.895,0.183,0.327,-7.348,,-3.944
6757.68,31.933,0.189,0.318,-6.547,,-3.951
6758.86,31.935,0.189,0.318,-6.503,,-3.951
6779.37,31.977,0.194,0.309,-5.771,,-3.966
6784.06,31.988,0.195,0.307,-5.629,,-3.97
6798.2,32.023,0.195,0.3,-5.323,,-3.984
6833.05,32.125,0.195,0.28,-5.319,,-4.026
6837.47,32.139,0.196,0.277,-5.323,,-4.032
6873.66,32.263,0.196,0.252,-4.751,,-4.081
6903.51,32.342,0.196,0.23,-3.609,,-4.12
6910.06,32.354,0.196,0.225,-3.456,,-4.128
6938.59,32.391,0.197,0.204,-3.183,,-4.16
6945.99,32.398,0.197,0.199,-3.152,,-4.167
7013.56,32.429,0.197,0.163,-2.999,,-4.207
7024.8,32.431,0.198,0.16,-3,,-4.21
7032.45,32.433,0.198,0.16,-3.001,,-4.211
7038.74,32.434,0.203,0.16,-2.997,,-4.212
7057.58,32.436,0.221,0.164,-2.885,,-4.215
7083.32,32.441,0.245,0.18,-2.46,,-4.219
7092.17,32.442,0.253,0.189,-2.39,,-4.221
7107.89,32.446,0.267,0.208,-3.074,,-4.226
7142.47,32.463,0.299,0.267,-3.378,,-4.244
7150.56,32.471,0.307,0.283,-3.403,,-4.249
7183.34,32.551,0.337,0.359,-3.492,,-4.272
7191.87,32.613,0.345,0.38,-3.494,,-4.278
7193.03,32.623,0.346,0.383,-3.492,,-4.279
7195.95,32.648,0.349,0.39,-3.482,,-4.281
7199.09,32.673,0.352,0.398,-3.465,,-4.283
7200.61,32.683,0.353,0.401,-3.454,,-4.285
