x,AccuLevel,DetectorLoad,ModuleLoad,AccuControl,AccuTsat
1007.79,39.16,8.283,3.739,-16.904,-23.224
1010.64,39.161,9.18,3.946,-17.294,-23.212
1012.62,39.162,7.909,4.176,-17.584,-23.203
1012.62,39.162,8.173,4.176,-17.584,-23.203
1012.62,39.162,8.748,4.177,-17.585,-23.203
1012.63,39.162,9.923,4.178,-17.586,-23.203
1012.63,39.162,10.546,4.178,-17.587,-23.203
1012.64,39.162,11.313,4.179,-17.587,-23.203
1013.23,39.163,11.519,4.261,-17.679,-23.201
1014.63,39.163,12.009,4.479,-17.917,-23.195
1016.53,39.164,13.001,4.812,-18.31,-23.187
1016.59,39.164,13.032,4.822,-18.324,-23.187
1019.5,39.166,14.986,5.378,-19.164,-23.175
1021.26,39.167,16.16,5.916,-19.507,-23.168
1021.5,39.786,16.323,6.034,-19.544,-23.167
1024.41,39.169,18.276,7.4,-19.877,-23.156
1026.07,39.17,19.388,7.699,-20.006,-23.149
1027.66,39.846,21.633,7.974,-20.103,-23.143
1027.68,39.846,24.601,7.979,-20.104,-23.143
1027.69,39.846,26.428,7.981,-20.105,-23.143
1030.5,39.882,28.324,8.933,-20.229,-23.133
1030.71,39.885,28.465,9.074,-20.236,-23.132
1030.85,39.887,28.559,9.182,-20.241,-23.131
1030.87,39.887,30.805,9.195,-20.242,-23.131
1030.88,39.887,32.403,9.205,-20.242,-23.131
1033,39.92,33.197,13.222,-20.303,-23.123
1034.03,39.938,33.583,13.915,-20.327,-23.12
1038.15,40.033,33.593,14.713,-20.384,-23.105
1043.51,40.205,33.606,15.978,-20.378,-23.086
1048.77,40.293,33.62,17.024,-20.245,-23.069
1050.94,40.319,33.625,17.177,-20.115,-23.062
1058.81,40.405,33.645,17.277,-18.973,-23.038
1063.95,40.471,33.658,17.299,-19.093,-23.023
1077.66,40.734,33.692,17.326,-19.429,-22.986
1079.62,40.779,33.697,17.327,-19.319,-22.982
1084.38,40.89,33.705,17.331,-18.607,-22.971
1088.68,40.986,33.713,17.334,-18.173,-22.961
1093.09,41.08,33.72,17.336,-18.306,-22.952
1098.53,41.195,33.729,17.337,-18.842,-22.942
1104.39,41.325,33.739,17.338,-19.924,-22.932
1110.65,41.482,33.749,17.338,-23.006,-22.922
1112.69,41.537,33.753,17.338,-23.475,-22.919
1123.21,41.871,33.771,17.338,-25.213,-22.905
1125.21,41.953,33.774,17.337,-26.001,-22.903
1125.27,41.956,33.774,17.337,-26.036,-22.903
1129.48,42.268,33.775,17.337,-27.459,-22.898
1129.98,42.299,33.775,17.337,-27.539,-22.898
1147.28,43.06,33.781,17.333,-28.811,-22.884
1156.19,43.307,33.784,17.331,-28.981,-22.879
1164.57,43.479,33.787,17.329,-28.948,-22.876
1177.15,43.783,33.791,17.326,-28.665,-22.874
1192.36,44.156,33.796,17.322,-28.029,-22.875
1192.88,44.164,33.796,17.322,-28.001,-22.876
1204.95,44.283,33.8,17.319,-26.354,-22.879
