x,AccuLevel,DetectorLoad,ModuleLoad,AccuControl,AccuTsat
6141.25,39.291,0.323,0.342,52.972,-4.993
6146.25,39.139,0.326,0.378,54.836,-5.019
6157.32,38.826,0.332,0.439,60.165,-5.076
6161.86,38.701,0.335,0.457,63.374,-5.1
6163.64,38.651,0.336,0.463,65.112,-5.109
6165.21,38.607,0.337,0.468,68.499,-5.117
6165.22,38.607,0.337,0.468,69.07,-5.117
6166.81,38.563,0.338,0.472,67.548,-5.125
6171.02,38.44,0.34,0.482,68.968,-5.147
6173.11,38.377,0.338,0.486,69.831,-5.157
6177.8,38.225,0.335,0.491,69.831,-5.181
6187,37.864,0.327,0.492,69.846,-5.225
6191.98,37.611,0.323,0.487,69.945,-5.248
6193.73,37.512,0.322,0.485,69.978,-5.256
6201.41,37.063,0.316,0.471,69.984,-5.289
6205.86,36.837,0.312,0.46,69.925,-5.307
6213.93,36.541,0.306,0.437,69.87,-5.335
6220.22,36.305,0.301,0.416,69.413,-5.355
6224.72,36.076,0.297,0.4,68.364,-5.366
6229.64,35.739,0.293,0.383,67.7,-5.377
6229.65,35.738,0.293,0.383,68.956,-5.377
6234.35,35.354,0.289,0.366,63.667,-5.384
6234.36,35.353,0.289,0.366,65.379,-5.384
6243.58,34.554,0.282,0.333,57.844,-5.392
6245.28,34.417,0.28,0.327,56.778,-5.392
6245.31,34.415,0.28,0.327,60.47,-5.392
6251.56,33.985,0.275,0.306,55.18,-5.389
6254.72,33.809,0.273,0.296,57.768,-5.386
6256.27,33.73,0.271,0.292,50.994,-5.384
6259.4,33.583,0.269,0.283,48.597,-5.379
6259.43,33.581,0.269,0.283,52.554,-5.379
6260.93,33.515,0.268,0.279,46.427,-5.376
6262.43,33.45,0.267,0.275,43.717,-5.372
6262.51,33.447,0.266,0.275,43.687,-5.372
6264.04,33.383,0.265,0.271,43.093,-5.368
6270.32,33.131,0.26,0.258,40.491,-5.348
6271.9,33.069,0.259,0.255,38.778,-5.342
6278.18,32.826,0.254,0.245,37.218,-5.315
6279.71,32.767,0.253,0.243,35.125,-5.307
6281.29,32.706,0.251,0.241,32.956,-5.299
6285.96,32.524,0.248,0.235,29.911,-5.272
6288.56,32.421,0.245,0.233,29.164,-5.255
6292.27,32.271,0.243,0.23,28.256,-5.229
6300.11,31.935,0.236,0.226,26.372,-5.169
6307.92,31.586,0.23,0.224,23.213,-5.102
6315.78,31.247,0.224,0.224,19.446,-5.03
6315.87,31.243,0.224,0.224,19.395,-5.029
6322.05,31.045,0.219,0.225,16.097,-4.971
6337.74,30.886,0.206,0.231,12.368,-4.824
6344.16,30.863,0.201,0.235,10.57,-4.765
6351.84,30.844,0.195,0.239,8.791,-4.697
6376.97,30.808,0.174,0.257,5.328,-4.498
6398.96,30.793,0.157,0.273,2.626,-4.359
6413.33,30.789,0.145,0.283,1.748,-4.287
6416.27,30.788,0.143,0.285,1.523,-4.274
6421.17,30.788,0.139,0.289,1.058,-4.253
6436.66,30.79,0.126,0.298,-0.989,-4.197
6441.39,30.791,0.122,0.301,-2.511,-4.182
6449.25,30.796,0.116,0.305,-3.476,-4.16
6450.84,30.797,0.115,0.306,-3.65,-4.156
6463.38,30.811,0.118,0.312,-4.985,-4.125
6474.35,30.831,0.12,0.317,-6.773,-4.103
6485.36,30.859,0.123,0.321,-9.475,-4.084
6487.2,30.865,0.124,0.322,-9.723,-4.081
6512.04,30.965,0.13,0.33,-11.948,-4.05
6538.79,31.125,0.136,0.336,-12.747,-4.032
6550.08,31.208,0.139,0.338,-12.61,-4.029
6574.93,31.408,0.145,0.341,-11.872,-4.028
6576.53,31.421,0.145,0.341,-11.148,-4.029
6607.97,31.641,0.152,0.343,-11.149,-4.043
6620.5,31.707,0.155,0.343,-11.186,-4.053
6628.69,31.742,0.157,0.343,-11.201,-4.062
6645.65,31.793,0.162,0.342,-11.072,-4.082
6677.1,31.844,0.169,0.339,-10.424,-4.132
6692.83,31.859,0.173,0.336,-9.32,-4.161
6707.01,31.87,0.176,0.333,-7.874,-4.189
6727.43,31.889,0.181,0.328,-7.455,-4.229
6732.45,31.895,0.182,0.326,-7.349,-4.238
6757.69,31.933,0.188,0.318,-6.547,-4.283
6758.87,31.935,0.189,0.317,-6.504,-4.285
6779.38,31.977,0.194,0.309,-5.771,-4.317
6784.07,31.988,0.195,0.307,-5.629,-4.324
6798.21,32.022,0.195,0.3,-5.323,-4.343
6833.06,32.124,0.195,0.279,-5.319,-4.388
6837.49,32.139,0.195,0.277,-5.323,-4.393
6873.67,32.262,0.196,0.252,-4.752,-4.436
6903.53,32.341,0.196,0.23,-3.61,-4.471
6910.07,32.354,0.196,0.225,-3.456,-4.478
6946,32.397,0.196,0.199,-3.152,-4.521
6947.34,32.399,0.196,0.198,-3.147,-4.523
7013.58,32.429,0.197,0.162,-3,-4.605
7024.81,32.431,0.197,0.16,-3,-4.617
7032.46,32.432,0.197,0.159,-3.001,-4.625
7038.75,32.433,0.203,0.159,-2.998,-4.631
7057.59,32.436,0.221,0.164,-2.885,-4.645
7092.18,32.442,0.253,0.189,-2.39,-4.649
7102.05,32.444,0.262,0.2,-2.779,-4.642
7107.9,32.446,0.267,0.208,-3.075,-4.635
7142.48,32.463,0.299,0.266,-3.379,-4.546
7150.57,32.47,0.307,0.283,-3.403,-4.513
7183.36,32.551,0.337,0.359,-3.492,-4.333
7191.88,32.613,0.345,0.379,-3.494,-4.278
7193.05,32.623,0.346,0.382,-3.492,-4.271
7195.96,32.648,0.349,0.389,-3.483,-4.252
7199.1,32.673,0.351,0.397,-3.465,-4.232
7200.62,32.683,0.353,0.401,-3.454,-4.223
