Year/Month/Day Hour:Minute:Second.Millisecond,EP_DT_FS:@CS0d_P2_PT4c54.PosSt,EP_DT_FS:@CS0d_P2_PT1c04.PosSt,EP_DT_FS:@CS0d_P2_PT9c66.PosSt,EP_DT_FS:@CS0d_L2_TT1c10.PosSt,EP_DT_FS:@CS0d_L2_TT9c56.PosSt,
Year/Month/Day Hour:Minute:Second.Millisecond,CS0d_P2_PT4c54.PosSt,CS0d_P2_PT1c04.PosSt,CS0d_P2_PT9c66.PosSt,CS0d_L2_TT1c10.PosSt,CS0d_L2_TT9c56.PosSt,
2021/10/15 22:38:37.000,47.026908874512,42.7734375,46.578414916992,21.193214416504,21.609153747559,
2021/10/15 22:38:38.000,47.026908874512,42.7734375,46.578414916992,21.193214416504,21.609153747559,
2021/10/15 22:48:37.000,47.026908874512,42.766204833984,46.578414916992,21.193214416504,21.609153747559,
2021/10/15 22:48:38.000,47.026908874512,42.766204833984,46.578414916992,21.193214416504,21.609153747559,
2021/10/15 22:58:38.000,47.026908874512,42.740882873535,46.578414916992,21.193214416504,21.609153747559,
2021/10/15 23:08:37.000,47.026908874512,42.740882873535,46.578414916992,21.193214416504,21.609153747559,
2021/10/15 23:08:38.000,47.026908874512,42.740882873535,46.578414916992,21.193214416504,21.609153747559,
2021/10/15 23:18:37.000,47.026908874512,42.715564727783,46.578414916992,21.193214416504,21.609153747559,
2021/10/15 23:18:38.000,47.026908874512,42.715564727783,46.578414916992,21.193214416504,21.609153747559,
2021/10/15 23:28:38.000,47.026908874512,42.715564727783,46.578414916992,21.193214416504,21.609153747559,
2021/10/15 23:38:38.000,47.026908874512,42.683013916016,46.578414916992,21.193214416504,21.609153747559,
2021/10/15 23:38:40.000,47.026908874512,42.683013916016,46.578414916992,21.193214416504,21.609153747559,
2021/10/15 23:48:38.000,47.026908874512,42.683013916016,46.578414916992,21.129920959473,21.545860290527,
2021/10/15 23:56:24.000,47.026908874512,42.657695770264,46.578414916992,21.129920959473,21.545860290527,
2021/10/15 23:58:38.000,47.026908874512,42.661312103271,46.578414916992,21.129920959473,21.545860290527,
2021/10/16 00:08:38.000,47.026908874512,42.661312103271,46.578414916992,21.129920959473,21.545860290527,
2021/10/16 00:18:38.000,47.026908874512,42.639610290527,46.578414916992,21.129920959473,21.545860290527,
2021/10/16 00:21:20.000,47.026908874512,42.639610290527,46.578414916992,21.129920959473,21.482566833496,
2021/10/16 00:28:38.000,47.026908874512,42.63599395752,46.578414916992,21.066619873047,21.482566833496,
2021/10/16 00:38:38.000,47.026908874512,42.60705947876,46.578414916992,21.066619873047,21.482566833496,
2021/10/16 00:38:39.000,47.026908874512,42.60705947876,46.578414916992,21.066619873047,21.482566833496,
2021/10/16 00:48:38.000,47.026908874512,42.585357666016,46.578414916992,21.066619873047,21.482566833496,
2021/10/16 00:48:40.000,47.026908874512,42.585357666016,46.578414916992,21.066619873047,21.482566833496,
2021/10/16 00:58:38.000,47.026908874512,42.585357666016,46.578414916992,21.066619873047,21.482566833496,
2021/10/16 01:04:18.000,47.026908874512,42.556423187256,46.578414916992,21.066619873047,21.482566833496,
2021/10/16 01:08:38.000,47.026908874512,42.570892333984,46.578414916992,21.066619873047,21.482566833496,
2021/10/16 01:11:41.000,47.026908874512,42.570892333984,46.578414916992,21.003326416016,21.482566833496,
2021/10/16 01:18:38.000,47.026908874512,42.54919052124,46.578414916992,21.003326416016,21.419273376465,
2021/10/16 01:28:38.000,47.008823394775,42.523872375488,46.560329437256,21.003326416016,21.419273376465,
2021/10/16 01:28:39.000,47.008823394775,42.523872375488,46.560329437256,21.003326416016,21.419273376465,
2021/10/16 01:38:38.000,47.005207061768,42.516635894775,46.563945770264,21.003326416016,21.419273376465,
2021/10/16 01:48:38.000,47.019676208496,42.516635894775,46.560329437256,20.940032958984,21.419273376465,
2021/10/16 01:58:36.000,47.019676208496,42.516635894775,46.560329437256,20.940032958984,21.355972290039,
2021/10/16 01:58:38.000,47.023292541504,42.491317749023,46.556713104248,20.940032958984,21.355972290039,
2021/10/16 01:58:39.000,47.023292541504,42.491317749023,46.556713104248,20.940032958984,21.355972290039,
2021/10/16 02:08:38.000,47.00159072876,42.469615936279,46.571178436279,20.940032958984,21.355972290039,
2021/10/16 02:08:39.000,47.00159072876,42.469615936279,46.571178436279,20.940032958984,21.355972290039,
2021/10/16 02:16:15.000,47.00159072876,42.469615936279,46.571178436279,20.876731872559,21.355972290039,
2021/10/16 02:16:35.000,47.00159072876,42.444297790527,46.571178436279,20.876731872559,21.355972290039,
2021/10/16 02:18:38.000,47.00159072876,42.469615936279,46.571178436279,20.876731872559,21.355972290039,
2021/10/16 02:18:39.000,47.00159072876,42.469615936279,46.571178436279,20.876731872559,21.355972290039,
2021/10/16 02:28:38.000,47.00159072876,42.455150604248,46.545860290527,20.876731872559,21.355972290039,
2021/10/16 02:38:38.000,47.00159072876,42.433448791504,46.563945770264,20.876731872559,21.355972290039,
2021/10/16 02:38:39.000,47.00159072876,42.433448791504,46.563945770264,20.876731872559,21.292678833008,
2021/10/16 02:48:38.000,46.987121582031,42.415363311768,46.545860290527,20.876731872559,21.292678833008,
2021/10/16 02:48:39.000,46.987121582031,42.415363311768,46.545860290527,20.813438415527,21.292678833008,
2021/10/16 02:58:38.000,46.987121582031,42.393661499023,46.549476623535,20.813438415527,21.292678833008,
2021/10/16 02:58:39.000,46.987121582031,42.393661499023,46.549476623535,20.813438415527,21.292678833008,
2021/10/16 03:03:08.000,46.987121582031,42.393661499023,46.549476623535,20.813438415527,21.229385375977,
