Year/Month/Day Hour:Minute:Second.Millisecond,EP_DT_FS:@CS0d_P1_PT4a54.PosSt,EP_DT_FS:@CS0d_P1_PT1a04.PosSt,EP_DT_FS:@CS0d_P1_PT9a66.PosSt,EP_DT_FS:@CS0d_L1_TT1a10.PosSt,EP_DT_FS:@CS0d_L1_TT9a56.PosSt,
Year/Month/Day Hour:Minute:Second.Millisecond,CS0d_P1_PT4a54.PosSt,CS0d_P1_PT1a04.PosSt,CS0d_P1_PT9a66.PosSt,CS0d_L1_TT1a10.PosSt,CS0d_L1_TT9a56.PosSt,
2021/10/15 22:24:44.000,46.278209686279,35.076679229736,44.769966125488,21.428314208984,21.744789123535,
2021/10/15 22:28:37.000,46.274593353271,35.076679229736,44.769966125488,21.428314208984,21.744789123535,
2021/10/15 22:28:38.000,46.274593353271,35.076679229736,44.769966125488,21.428314208984,21.744789123535,
2021/10/15 22:38:37.000,46.274593353271,35.076679229736,44.694007873535,21.428314208984,21.744789123535,
2021/10/15 22:38:38.000,46.274593353271,35.076679229736,44.694007873535,21.428314208984,21.744789123535,
2021/10/15 22:41:05.000,46.274593353271,35.076679229736,44.668689727783,21.428314208984,21.744789123535,
2021/10/15 22:48:37.000,46.274593353271,35.076679229736,44.643371582031,21.428314208984,21.744789123535,
2021/10/15 22:48:38.000,46.274593353271,35.076679229736,44.643371582031,21.428314208984,21.744789123535,
2021/10/15 22:56:25.000,46.274593353271,35.076679229736,44.567417144775,21.428314208984,21.744789123535,
2021/10/15 22:58:38.000,46.274593353271,35.076679229736,44.567417144775,21.428314208984,21.744789123535,
2021/10/15 23:08:37.000,46.274593353271,35.076679229736,44.567417144775,21.428314208984,21.744789123535,
2021/10/15 23:08:38.000,46.274593353271,35.076679229736,44.516780853271,21.428314208984,21.744789123535,
2021/10/15 23:12:28.000,46.274593353271,35.076679229736,44.466144561768,21.428314208984,21.744789123535,
2021/10/15 23:18:37.000,46.274593353271,35.076679229736,44.440826416016,21.428314208984,21.744789123535,
2021/10/15 23:18:38.000,46.274593353271,35.076679229736,44.440826416016,21.428314208984,21.744789123535,
2021/10/15 23:27:39.000,46.274593353271,35.076679229736,44.36487197876,21.428314208984,21.744789123535,
2021/10/15 23:28:38.000,46.274593353271,35.076679229736,44.36487197876,21.428314208984,21.681495666504,
2021/10/15 23:37:51.000,46.299911499023,35.076679229736,44.36487197876,21.428314208984,21.681495666504,
2021/10/15 23:38:38.000,46.2890625,35.076679229736,44.314235687256,21.428314208984,21.681495666504,
2021/10/15 23:38:40.000,46.2890625,35.076679229736,44.314235687256,21.428314208984,21.681495666504,
2021/10/15 23:43:11.000,46.2890625,35.076679229736,44.263599395752,21.428314208984,21.681495666504,
2021/10/15 23:48:38.000,46.274593353271,35.076679229736,44.23828125,21.428314208984,21.681495666504,
2021/10/15 23:58:17.000,46.274593353271,35.076679229736,44.162326812744,21.428314208984,21.681495666504,
2021/10/15 23:58:38.000,46.274593353271,35.076679229736,44.162326812744,21.365013122559,21.681495666504,
2021/10/16 00:08:04.000,46.274593353271,35.076679229736,44.162326812744,21.365013122559,21.618202209473,
2021/10/16 00:08:38.000,46.274593353271,35.076679229736,44.11169052124,21.365013122559,21.618202209473,
2021/10/16 00:14:02.000,46.274593353271,35.076679229736,44.057434082031,21.365013122559,21.618202209473,
2021/10/16 00:18:38.000,46.274593353271,35.076679229736,44.032115936279,21.365013122559,21.618202209473,
2021/10/16 00:28:38.000,46.274593353271,35.076679229736,43.981479644775,21.365013122559,21.618202209473,
2021/10/16 00:29:28.000,46.274593353271,35.076679229736,43.952545166016,21.365013122559,21.618202209473,
2021/10/16 00:38:38.000,46.274593353271,35.076679229736,43.901908874512,21.365013122559,21.618202209473,
2021/10/16 00:38:39.000,46.274593353271,35.076679229736,43.901908874512,21.365013122559,21.618202209473,
2021/10/16 00:39:04.000,46.274593353271,35.076679229736,43.901908874512,21.301719665527,21.618202209473,
2021/10/16 00:45:23.000,46.274593353271,35.076679229736,43.851272583008,21.301719665527,21.618202209473,
2021/10/16 00:48:38.000,46.274593353271,35.054977416992,43.851272583008,21.301719665527,21.618202209473,
2021/10/16 00:48:40.000,46.274593353271,35.054977416992,43.851272583008,21.301719665527,21.618202209473,
2021/10/16 00:58:38.000,46.274593353271,35.054977416992,43.775318145752,21.301719665527,21.618202209473,
2021/10/16 01:00:30.000,46.274593353271,35.054977416992,43.75,21.301719665527,21.618202209473,
2021/10/16 01:08:38.000,46.270977020264,35.054977416992,43.699363708496,21.301719665527,21.554901123047,
2021/10/16 01:15:17.000,46.270977020264,35.054977416992,43.645111083984,21.301719665527,21.554901123047,
2021/10/16 01:18:38.000,46.24927520752,35.054977416992,43.645111083984,21.301719665527,21.554901123047,
2021/10/16 01:28:38.000,46.267360687256,35.054977416992,43.569152832031,21.301719665527,21.554901123047,
2021/10/16 01:28:39.000,46.267360687256,35.054977416992,43.569152832031,21.238426208496,21.554901123047,
2021/10/16 01:31:21.000,46.267360687256,35.054977416992,43.543834686279,21.238426208496,21.554901123047,
2021/10/16 01:38:38.000,46.24927520752,35.054977416992,43.518516540527,21.238426208496,21.554901123047,
2021/10/16 01:47:01.000,46.24927520752,35.054977416992,43.438945770264,21.238426208496,21.554901123047,
2021/10/16 01:47:27.000,46.24927520752,35.054977416992,43.438945770264,21.238426208496,21.491607666016,
2021/10/16 01:48:38.000,46.24927520752,35.054977416992,43.438945770264,21.238426208496,21.491607666016,
2021/10/16 01:58:38.000,46.24927520752,35.054977416992,43.362991333008,21.238426208496,21.491607666016,
